date,index.svix2,box_12m,SimpleReturn,dt,ExcessReturns,LowerBound,ExcessReturns_LowerBound
2004-06-30,0.01944555,1.0248999842354458,1.1409193533821005,2004-06-30,0.11601936914665467,0.01992974388844957,0.09608962525820511
2004-12-31,0.015707358,1.0318766484052115,1.1384887630507874,2004-12-31,0.10661211464557585,0.01620805592834079,0.09040405871723506
2005-06-30,0.014839925,1.03999212238983,1.1136188788520551,2005-06-30,0.07362675646222505,0.015433405096855899,0.058193351365369156
2005-12-30,0.014649688,1.0500873722518536,1.1221945137157108,2005-12-30,0.07210714146385722,0.015383452376229512,0.056723689087627704
2006-06-30,0.014372282,1.0581279789471747,1.0398211519826646,2006-06-30,-0.018306826964510137,0.015207713705518858,-0.03351454067002899
2006-12-29,0.013726458,1.054757442839585,1.0785302698230692,2006-12-29,0.023772826983484263,0.014478083739324963,0.0092947432441593
2007-06-29,0.017490523,1.0556027772795653,1.0885339017924,2007-06-29,0.03293112451283475,0.018463044654872116,0.014468079857962637
2007-12-31,0.034837443,1.0406073780957084,1.0386799881242819,2007-12-31,-0.0019273899714264964,0.03625210021978869,-0.038179490191215186
2008-06-30,0.035406558,1.0309127389395896,1.0769708210942632,2008-06-30,0.04605808215467366,0.03650107168420343,0.00955701047047023
2008-12-31,0.091654268,1.011333679989939,1.116418064516129,2008-12-31,0.10508438452618996,0.09269304814322411,0.012391336382965842
2009-06-30,0.052218807,1.0086477117094976,1.2324102611106658,2009-06-30,0.22376254940116813,0.05267038018874989,0.17109216921241824
2009-12-31,0.039760134,1.006221853764895,1.156641156544649,2009-12-31,0.15041930277975402,0.040007515739420636,0.11041178704033339
2010-06-30,0.063634059,1.0067504895190635,1.0538051218094024,2010-06-30,0.047054632290338905,0.06406362004833498,-0.017008987757996072
2010-12-31,0.035047086,1.0040253106611021,1.0932339468924834,2010-12-31,0.08920863623138131,0.03518816140891636,0.05402047482246495
2011-06-30,0.02947062,1.0042218801590408,1.0419034768005515,2011-06-30,0.03768159664151072,0.02959504142585263,0.008086555215658087
2011-12-30,0.044541556,1.0066727951721148,1.1095906806032076,2011-12-30,0.10291788543109281,0.044838772679835284,0.05807911275125753
2012-12-31,0.027801623,1.004458166481334,1.0440601631543167,2012-12-31,0.03960199667298281,0.027925567263785284,0.011676429409197525
2013-06-28,0.025841954,1.0055423528020893,1.0697622013432901,2013-06-28,0.06421984854120089,0.025985179226163363,0.03823466931503752
