,index.svix2,box_12m,SimpleReturn,ExcessReturns,LowerBound,ExcessReturns_LowerBound
2005-10-26,0.0174580596084266,1.0462117478415205,1.1601923819436284,0.1139806341021079,0.018264827056853443,0.09571580704525445
2005-10-27,0.0186279403080325,1.0461584373817339,1.1782933242853506,0.13213488690361674,0.019487776924291496,0.11264710997932526
2005-10-28,0.0174437073375885,1.0462440627698715,1.1493061640006341,0.10306210123076265,0.01825037523464721,0.08481172599611544
2005-10-31,0.017037890383315,1.0464158869542919,1.1416061175963745,0.09519023064208265,0.017828719177286567,0.07736151146479608
2005-11-01,0.0172201340736328,1.0466182280600358,1.1456483421463968,0.09903011408636098,0.018022906211101808,0.08100720787525917
2005-11-02,0.0165220022955671,1.046788579419416,1.1259919654911257,0.07920338607170962,0.017295043312141014,0.06190834275956861
2005-11-03,0.0157325350324969,1.0469566718145817,1.1208256143744773,0.07386894255989551,0.016471282516829267,0.05739766004306625
2005-11-04,0.0158314524076809,1.0472255023292352,1.1181503761863392,0.070924873857104,0.016579100700235008,0.05434577315686899
2005-11-07,0.0156994600124352,1.047269284086332,1.1283682665336399,0.08109898244730784,0.01644156224776501,0.06465742019954283
2005-11-08,0.0156030690657553,1.0470756804371322,1.1347869258733454,0.08771124543621323,0.016337594158933298,0.07137365127727993
2005-11-09,0.0154993238105253,1.047066537010851,1.1352312292630975,0.08816469225224655,0.01622882330829655,0.07193586894394999
2005-11-10,0.0147173926010137,1.0474239159120184,1.1197195684668875,0.07229565255486903,0.015415348990168337,0.05688030356470069
2005-11-14,0.0144005422464604,1.047291122494741,1.1221145117364804,0.07482338924173937,0.015081560053828451,0.05974182918791092
2005-11-15,0.014784691207655,1.0475620585074144,1.133611606089454,0.08604954758203975,0.015487881555887541,0.07056166602615221
2005-11-16,0.0146370249921262,1.047225023106989,1.1343069013409572,0.08708187823396818,0.015328258835596936,0.07175361939837124
2005-11-17,0.0140145432694049,1.046925875561952,1.1262954618603154,0.07936958629836344,0.014672187982922585,0.06469739831544086
2005-11-18,0.014001529349114,1.0471429773357328,1.1225135587653312,0.0753705814295984,0.01466160312988488,0.06070897829971353
2005-11-21,0.0137795058596385,1.0478093980826602,1.1160696497589355,0.06826025167627536,0.014438295740664306,0.05382195593561106
2005-11-22,0.0138503407420442,1.0477959437414381,1.1122554966183804,0.06445955287694227,0.014512330848950693,0.04994722202799158
2005-11-23,0.0141844651871353,1.0471566545627884,1.1109978587400542,0.0638412041772658,0.014853357112122937,0.048987847065142864
