,index.svix2,box_12m,SimpleReturn,ExcessReturns,LowerBound,ExcessReturns_LowerBound,Institutional Index Value,Investors Index Value,dt
2004-03-31,0.023345597,1.0143966149962567,1.067661564934986,0.05326494993872943,0.023681694571866765,0.029583255366862668,88.04,89.29,2004-03-31
2004-04-30,0.024838759,1.018505725384125,1.0633914226443666,0.04488569726024161,0.02529841825293646,0.01958727900730515,81.11,87.32,2004-04-30
2004-06-30,0.01944555,1.0248999842354458,1.0708231327769935,0.045923148541547665,0.01992974388844957,0.025993404653098094,77.57,84.47,2004-06-30
2004-08-31,0.022009478,1.023153330518903,1.1142082303062284,0.0910548997873255,0.022519070718682522,0.06853582906864299,72.9,84.87,2004-08-31
2004-09-30,0.018113193,1.0245186691271517,1.121482506616165,0.09696383748901338,0.01855730438600324,0.07840653310301014,71.11,85.83,2004-09-30
2004-11-30,0.016033271,1.030474413984188,1.091022966908575,0.06054855292438699,0.016521875537974677,0.04402667738641231,72.09,87.2,2004-11-30
2004-12-31,0.015707358,1.0318766484052115,1.049117835014309,0.01724118660909757,0.01620805592834079,0.001033130680756781,75.56,88.62,2004-12-31
2005-01-31,0.012924375,1.033030283116954,1.1082087852000364,0.07517850208308241,0.013351270765359682,0.061827231317722726,82.19,87.8,2005-01-31
2005-02-28,0.012045655,1.036388586755149,1.095362679415161,0.05897409266001197,0.012483979361990095,0.04649011329802187,81.48,87.7,2005-02-28
2005-03-31,0.015105334,1.038955797389439,1.1219326590530923,0.08297686166365326,0.015693774330803805,0.06728308733284945,79.21,87.84,2005-03-31
2005-05-31,0.015489271,1.0388650923756015,1.0772135139077454,0.038348421532143906,0.016091262948245727,0.02225715858389818,81.82,85.52,2005-05-31
2005-06-30,0.014839925,1.03999212238983,1.088566322500406,0.048574200110576005,0.015433405096855899,0.03314079501372011,76.86,84.25,2005-06-30
2005-08-31,0.015224009,1.0423514910222509,1.0891805852339627,0.046829094211711775,0.015868768480486167,0.030960325731225608,75.0,81.82,2005-08-31
2005-09-30,0.014618963,1.0462651094847066,1.1079093509541293,0.06164424146942271,0.015295310923747876,0.046348930545674835,74.6,80.49,2005-09-30
2005-10-31,0.016239484,1.047509966109202,1.163392906241408,0.1158829401322059,0.017011021334470928,0.09887191879773498,72.57,80.51,2005-10-31
2005-11-30,0.014965585,1.0491832083484052,1.141372769276419,0.09218956092801389,0.015701640485110767,0.07648792044290312,74.36,82.73,2005-11-30
2006-01-31,0.013497531,1.0502491003748062,1.1375023865671103,0.0872532861923041,0.01417576979003106,0.07307751640227304,78.57,82.73,2006-01-31
2006-02-28,0.013258551,1.0526129193060858,1.1131747281531914,0.0605618088471056,0.013956122073878623,0.046605686773226976,83.91,83.93,2006-02-28
2006-03-31,0.012422194,1.0540653279024732,1.118299464262115,0.0642341363596417,0.013093803991878135,0.051140332367763566,87.78,84.13,2006-03-31
2006-05-31,0.016189517,1.0558312098390168,1.2275757716599274,0.17174456182091058,0.01709339732081933,0.15465116450009125,92.59,83.33,2006-05-31
2006-06-30,0.014372282,1.0581279789471747,1.2058864483788285,0.14775846943165383,0.015207713705518858,0.13255075572613498,88.89,87.5,2006-06-30
2006-07-31,0.015722035,1.0567142403918866,1.1761977252574334,0.11948348486554683,0.016613698272439654,0.10286978659310718,87.18,82.52,2006-07-31
2006-08-31,0.014024943,1.055694419684444,1.138548727858938,0.08285430817449391,0.014806054061492404,0.0680482541130015,81.11,82.35,2006-08-31
2006-10-31,0.011840296,1.0547201822163546,1.1319499917283105,0.0772298095119559,0.012488199154615574,0.06474161035734033,73.74,85.22,2006-10-31
2006-11-30,0.012284876,1.0533938820792557,1.0688996191827969,0.015505737103541195,0.012940813220502279,0.0025649238830389165,75.21,85.29,2006-11-30
2007-01-31,0.011373422,1.0557425373401288,0.9606117547393419,-0.09513078260078689,0.012007405400520041,-0.10713818800130694,74.51,85.38,2007-01-31
2007-02-28,0.014490136,1.0555033762406691,0.9996415078730385,-0.05586186836763063,0.015294387470186466,-0.0711562558378171,75.58,86.36,2007-02-28
2007-04-30,0.01327794,1.054556943736904,0.9568805302994032,-0.09767641343750078,0.014002343825521988,-0.11167875726302276,81.18,80.0,2007-04-30
2007-05-31,0.013858261,1.0556411116944597,0.9330249185154033,-0.12261619317905648,0.014629350048191976,-0.13724554322724844,78.16,80.15,2007-05-31
2007-07-31,0.025423994,1.0539371971167657,0.9007216153591526,-0.15321558175761307,0.026795292975873467,-0.18001087473348654,76.92,79.27,2007-07-31
2007-10-31,0.02786219,1.0460665881828577,0.6293637335115754,-0.4167028546712823,0.029145706032602536,-0.44584856070388484,76.95,79.41,2007-10-31
2007-12-31,0.034837443,1.0406073780957084,0.6212086392077113,-0.41939873888799706,0.03625210021978869,-0.45565083910778575,79.87,76.58,2007-12-31
2008-01-31,0.036087883,1.0276283269817805,0.6137321832187831,-0.41389614376299744,0.03708493083160424,-0.4509810745946017,80.37,72.33,2008-01-31
2008-02-29,0.040725269,1.0263168611585325,0.566794439041135,-0.45952242211739747,0.04179703024991689,-0.5013194523673143,79.55,72.18,2008-02-29
2008-03-31,0.040895236,1.0231572441904664,0.6110935539786059,-0.4120636902118605,0.04184225696627875,-0.45390594717813926,79.74,72.47,2008-03-31
2008-04-30,0.029912777,1.029038182681204,0.6474455854218699,-0.38159259725933414,0.03078138968302812,-0.41237398694236227,81.29,70.75,2008-04-30
2008-06-30,0.035406558,1.0309127389395896,0.7441409422733292,-0.2867717966662604,0.03650107168420343,-0.3232728683504638,80.42,72.12,2008-06-30
2008-07-31,0.034141396,1.0296844665403482,0.799815328709932,-0.22986913783041618,0.035154865127202777,-0.26502400295761896,79.28,75.18,2008-07-31
2008-09-30,0.049586451,1.030402506518431,0.9339436135465016,-0.09645889297192944,0.051094003399753354,-0.14755289637168278,80.74,74.24,2008-09-30
2008-10-31,0.103220467,1.026197568105261,1.0980494702384411,0.07185190213318005,0.10592459221408936,-0.03407269008090931,81.59,75.82,2008-10-31
2008-12-31,0.091654268,1.011333679989939,1.277471128301835,0.2661374483118959,0.09269304814322411,0.1734444001686718,81.25,73.18,2008-12-31
2009-03-31,0.095375342,1.0107229739819652,1.5025831799409117,0.49186020595894653,0.09639804931078703,0.3954621566481595,81.62,74.17,2009-03-31
2009-04-30,0.080524433,1.0103282862989102,1.4119415837880187,0.40161329748910846,0.08135611239808142,0.320257185091027,80.95,72.16,2009-04-30
2009-06-30,0.052218807,1.0086477117094976,1.1558501340947602,0.1472024223852626,0.05267038018874989,0.0945320421965127,79.52,73.94,2009-06-30
2009-07-31,0.049582785,1.0076117489897363,1.1383666912690489,0.1307549422793126,0.049960196713632055,0.08079474556568056,79.52,72.84,2009-07-31
2009-08-31,0.051973857,1.0058154876899061,1.048649522304432,0.04283403461452595,0.05227611032558044,-0.009442075711054487,75.32,76.63,2009-08-31
2009-09-30,0.047018307,1.006516788950704,1.1050171392957309,0.0985003503450268,0.04732471538353841,0.05117563496148839,76.14,79.38,2009-09-30
2009-11-30,0.046756067,1.0051358067238052,1.1060365677768655,0.10090076105306034,0.04699619712327729,0.05390456392978305,76.6,78.08,2009-11-30
2009-12-31,0.039760134,1.006221853764895,1.1508571428571428,0.14463528909224777,0.040007515739420636,0.10462777335282714,75.14,79.05,2009-12-31
2010-03-31,0.029745419,1.0052681880812082,1.1585712220110718,0.15330303392986355,0.02990212346184634,0.12340091046801721,77.36,76.59,2010-03-31
2010-04-30,0.037967437,1.006659129149551,1.1721918609084672,0.16553273175891614,0.038220267066460444,0.1273124646924557,77.92,76.63,2010-04-30
2010-06-30,0.063634059,1.0067504895190635,1.2938206537898707,0.2870701642708071,0.06406362004833498,0.22300654422247213,76.67,77.84,2010-06-30
2010-08-31,0.057365407,1.0044254838115214,1.1790647913040997,0.17463930749257828,0.057619276680019836,0.11702003081255843,75.0,76.57,2010-08-31
2010-09-30,0.048466645,1.004060595441324,1.0373398988972995,0.03327930345597552,0.04866344843774327,-0.015384144981767753,73.68,76.77,2010-09-30
2010-11-30,0.042348122,1.0054279457830597,1.0334133936140153,0.02798544783095558,0.0425779853102304,-0.014592537479274824,76.47,76.0,2010-11-30
2010-12-31,0.035047086,1.0040253106611021,1.0211182004360801,0.017092889774978026,0.03518816140891636,-0.018095271633938335,77.5,77.46,2010-12-31
2011-02-28,0.028379795,1.0041025943461097,1.0523508521140916,0.04824825776798192,0.028496225786510752,0.019752031981471165,80.58,80.95,2011-02-28
2011-03-31,0.029528009,1.0048079381991528,1.085391883685207,0.08058394548605419,0.02966997784241603,0.05091396764363816,81.43,79.08,2011-03-31
2011-05-31,0.026452436,1.0040914504568763,0.9980391812814192,-0.006052269175457092,0.026560664831357692,-0.03261293400681478,81.62,77.27,2011-05-31
2011-06-30,0.02947062,1.0042218801590408,1.0544819464147106,0.05026006625566981,0.02959504142585263,0.02066502482981718,81.75,79.13,2011-06-30
2011-08-31,0.047978895,1.0042719786919683,1.174029025703252,0.1697570470112837,0.048183859817104185,0.1215731871941795,80.89,74.59,2011-08-31
2011-11-30,0.053039483,1.0056384013654427,1.1611263967656804,0.15548799540023772,0.05333854089336957,0.10214945450686816,76.79,75.9,2011-11-30
2012-01-31,0.03489613,1.004721176548308,1.170714947532684,0.16599377098437595,0.035060880790582706,0.13093289019379326,80.09,75.66,2012-01-31
2012-02-29,0.034065586,1.0048568129210524,1.1355073664707658,0.13065055354971333,0.03423103617824803,0.09641951737146531,78.97,77.54,2012-02-29
2012-04-30,0.029398336,1.0054426602923079,1.1660042559886064,0.16056159569629846,0.029558341156007126,0.13100325454029133,81.55,78.72,2012-04-30
2012-05-31,0.04204796,1.0058093209067636,1.291219028741328,0.28540970783456454,0.04229223009311476,0.2431174777414498,82.72,78.82,2012-05-31
2012-07-31,0.033551084,1.003898996682781,1.2499603608415184,0.24606136415873747,0.033681899565219706,0.21237946459351775,81.82,79.68,2012-07-31
2012-08-31,0.036540774,1.0031545333303278,1.187039908593814,0.18388537526348614,0.03665604308949897,0.14722933217398718,82.38,78.53,2012-08-31
2012-10-31,0.029178522,1.004113581477961,1.2765622023821583,0.2724486209041974,0.029298550227653472,0.24315007067654393,79.44,78.29,2012-10-31
2012-11-30,0.025629158,1.0041156457734899,1.3029631480123456,0.2988475022388557,0.025734638535800804,0.2731128637030549,76.22,76.82,2012-11-30
2012-12-31,0.027801623,1.004458166481334,1.3185782051077286,0.3141200386263947,0.027925567263785284,0.28619447136260945,75.0,75.15,2012-12-31
2013-01-31,0.020157177,1.0046899933856708,1.223076806268412,0.2183868128827413,0.020251714026803792,0.19813509885593752,77.11,70.59,2013-01-31
2013-02-28,0.020546333,1.0046508328180164,1.2502434529873554,0.24559262016933903,0.02064189055980629,0.22495072960953275,74.19,70.95,2013-02-28
2013-04-30,0.018999515,1.004518801835561,1.2007281948842183,0.19620939304865725,0.01908537004325677,0.17712402300540048,75.37,71.79,2013-04-30
2013-05-31,0.023458166,1.0050592956673363,1.2044776532639316,0.19941835759659532,0.023576847797607454,0.17584150979898786,77.14,68.67,2013-05-31
2013-07-31,0.020377853,1.005634397907806,1.1931856114723673,0.1875512135645614,0.02049266993230878,0.16705854363225262,79.26,76.8,2013-07-31
2013-09-30,0.022545683,1.0040583671703385,1.2006246291889155,0.19656626201857708,0.02263718165972006,0.173929080358857,78.01,72.16,2013-09-30
