,index.svix2,box_12m,SimpleReturn,ExcessReturns,LowerBound,ExcessReturns_LowerBound
2006-05-01,0.012630212,1.0547428350677681,1.1571453753368086,0.1024025402690405,0.013321625612386945,0.08908091465665355
2006-05-02,0.012425762,1.0549314883754768,1.1531372794393693,0.09820579106389249,0.013108327600859442,0.08509746346303304
2006-05-03,0.012359998,1.0552138437934808,1.1652637979467029,0.11004995415322205,0.013042440998859735,0.09700751315436232
2006-05-04,0.012168091,1.055356729134736,1.1666716748299728,0.1113149456952367,0.012841676717573821,0.09847326897766288
2006-05-05,0.011904855,1.055448623847653,1.1572714564723845,0.10182283262473146,0.012564962826855852,0.08925786979787562
2006-05-08,0.012047731,1.0551851517599224,1.161143741566791,0.10595858980686845,0.012712586863597723,0.09324600294327073
2006-05-09,0.011775395,1.0552655581116082,1.1594523428163384,0.1041867847047302,0.012426168776659639,0.09176061592807055
2006-05-10,0.011738875,1.0554598496487435,1.1650008192692118,0.10954096962046833,0.012389911242545393,0.09715105837792294
2006-05-11,0.012253711,1.0553383079669199,1.1636259403789677,0.10828763241204786,0.012931810633055634,0.09535582177899223
2006-05-12,0.013001519,1.0553253078930198,1.188280348070204,0.13295504017718418,0.013720832041751946,0.11923420813543223
2006-05-15,0.0125612,1.0551990524048873,1.1831038068426791,0.1279047544377918,0.01325456633706827,0.11465018810072354
2006-05-16,0.012413471,1.0550249350564334,1.183871246423653,0.12884631136721958,0.013096521435599919,0.11574978993161966
2006-05-17,0.01425239,1.0553832489730461,1.2145640198844552,0.15918077091140903,0.015041733663830954,0.14413903724757807
2006-05-18,0.014872016,1.0552540305569411,1.221669649173915,0.16641561861697385,0.015693754826507318,0.15072186379046654
2006-05-19,0.014612579,1.055386007324383,1.2246835934869214,0.16929758616253832,0.015421911407522127,0.15387567475501618
2006-05-22,0.015147009,1.0556962422047411,1.2313961471249064,0.1756999049201653,0.015990640481941393,0.1597092644382239
2006-05-23,0.015392599,1.0555251862308537,1.2359615123434218,0.1804363261125681,0.016247275926051852,0.16418905018651625
2006-05-24,0.015417596,1.0552617465246499,1.2324978617769156,0.17723611525226568,0.016269599282171456,0.16096651597009423
2006-05-25,0.014583942,1.0555746940862185,1.2068140570862893,0.1512393630000708,0.015394440115221154,0.13584492288484964
2006-05-26,0.014266533,1.055660051657907,1.2063438363396846,0.15068378468177746,0.015060608963759235,0.1356231757180182
2006-05-30,0.017061472,1.0555906195061548,1.2277497408975622,0.17215912139140732,0.018009929798166915,0.15414919159324042
2006-05-31,0.016189517,1.0558312098390168,1.2275757716599274,0.17174456182091058,0.01709339732081933,0.15465116450009125
2006-06-01,0.014857352,1.0564778957287575,1.2129644744628318,0.15648657873407434,0.015696463977061446,0.1407901147570129
2006-06-02,0.014961028,1.0553566956952982,1.2151203344008228,0.15976363870552457,0.015789221074284834,0.14397441763123975
2006-06-05,0.016344436,1.055332258446156,1.2394219455430406,0.18408968709688467,0.017248810556908654,0.166840876539976
2006-06-06,0.016992909,1.0560968575425118,1.234187626159107,0.17809076861659512,0.017946157795405867,0.16014461082118925
2006-06-07,0.01784699,1.056353743089298,1.2308105879098221,0.17445684482052415,0.01885273468937727,0.1556041101311469
2006-06-08,0.017924265,1.0565302456830847,1.2074648570043627,0.15093461132127794,0.018937528104138717,0.13199708321713924
2006-06-09,0.018043779,1.056403631409102,1.2266846770435758,0.17028104563447366,0.019061513659943297,0.15121953197453036
2006-06-12,0.019511222,1.0564417660059868,1.2436406636935853,0.18719889768759845,0.020612469826614865,0.1665864278609836
2006-06-13,0.021153811,1.0565982240532303,1.2428063334261776,0.1862081093729473,0.02235107913455769,0.1638570302383896
2006-06-14,0.020082474,1.0572891227336023,1.2554258340571331,0.19813671132353083,0.021232981317780376,0.17690373000575046
2006-06-15,0.01580011,1.0575972499290238,1.2352965730266727,0.1776993230976489,0.016710152884576068,0.16098917021307285
2006-06-16,0.016672301,1.0580034860756158,1.2479418911558924,0.1899384050802766,0.017639352578901975,0.17229905250137462
2006-06-19,0.017277154,1.058017476468014,1.2578959051222969,0.19987842865428296,0.018279530875629252,0.1815988977786537
2006-06-20,0.016627821,1.0579222212937327,1.2600878375164497,0.202165616222717,0.017590941327594575,0.18457467489512241
2006-06-21,0.014990141,1.058121467725015,1.2309459756518826,0.17282450792686754,0.015861389996324925,0.15696311793054263
2006-06-22,0.015506429,1.0584996593495657,1.2451051562878095,0.1866054969382438,0.016413549814228226,0.17019194712401559
2006-06-23,0.01554131,1.0588311172196816,1.2301297306404397,0.17129861342075814,0.016455622630357408,0.15484299079040073
2006-06-26,0.014929689,1.0588721655615152,1.220244582302888,0.16137241674137281,0.01580863212258993,0.1455637846187829
2006-06-27,0.015814653,1.058749811092789,1.2274803832406251,0.16873057214783604,0.01674376087624801,0.15198681127158803
2006-06-28,0.015780922,1.0589275651854821,1.231790029337848,0.17286246415236595,0.016710853309842007,0.15615161084252394
2006-06-29,0.013930728,1.0587885129933612,1.2052514564505836,0.14646294345722244,0.01474969478403498,0.13171324867318746
2006-06-30,0.014372282,1.0581279789471747,1.2058864483788285,0.14775846943165383,0.015207713705518858,0.13255075572613498
2006-07-03,0.014215643,1.0582185209472226,1.2091543062384562,0.15093578529123364,0.015043256709773738,0.1358925285814599
2006-07-06,0.014939801,1.0587382665649043,1.2195230998509687,0.1607848332860644,0.015817339013564625,0.14496749427249978
2006-07-07,0.015914625,1.0583235741774082,1.232228689690855,0.17390511551344678,0.016842822811693137,0.15706229270175365
2006-07-10,0.015746754,1.0584810281190218,1.231549744008349,0.17306871588932715,0.01666764036345732,0.15640107552586982
2006-07-11,0.015364181,1.0582841054817058,1.209048907730776,0.15076480224907018,0.01625966854604402,0.13450513370302616
2006-07-12,0.016313137,1.058359921014445,1.2294265117391892,0.17106659072474417,0.017265170386817817,0.15380142033792635
2006-07-13,0.018410135,1.0580680437463734,1.2693006908253546,0.21123264707898115,0.019479175524556643,0.19175347155442451
2006-07-14,0.018900244,1.0576627788439243,1.2795179064090276,0.22185512756510328,0.019990084589868208,0.20186504297523508
2006-07-17,0.018722259,1.057853742689102,1.2788336108430285,0.22097986815392656,0.019805411754744724,0.20117445639918183
2006-07-18,0.018063172,1.058439049727092,1.2762294387873911,0.21779038906029924,0.019118766606737014,0.19867162245356224
2006-07-19,0.016058728,1.057956264072569,1.2503974562798092,0.1924411922072402,0.01698943188063756,0.17545176032660265
2006-07-20,0.016763791,1.0576956539097355,1.2667546976032529,0.20905904369351735,0.017730988883751138,0.19132805480976622
2006-07-21,0.017267672,1.057480671823524,1.26017710323282,0.20269643140929605,0.018260229387388253,0.1844362020219078
2006-07-24,0.015574231,1.057599838918393,1.245595639761225,0.18799580084283196,0.01647130419687784,0.17152449664595412
2006-07-25,0.015286071,1.057554211871876,1.213258505787443,0.15570429391556706,0.016165848769022537,0.1395384451465445
2006-07-26,0.015342887,1.0575197316270304,1.2193853330306095,0.16186560140357908,0.016225405742623853,0.14564019566095524
2006-07-27,0.015776689,1.057212889557231,1.1956463177089809,0.13843342815174986,0.016679318965335782,0.12175410918641408
2006-07-28,0.015372542,1.0568053644190156,1.1625244388031897,0.10571907438417405,0.01624578485035662,0.08947328953381743
2006-07-31,0.015722035,1.0567142403918866,1.1761977252574334,0.11948348486554683,0.016613698272439654,0.10286978659310718
2006-08-01,0.016023458,1.0567125999901543,1.1665774217132971,0.10986482172314282,0.01693218996401304,0.09293263175912979
2006-08-02,0.015765559,1.056698792185815,1.1679067434934347,0.11120795130761962,0.016659447153434204,0.09454850415418542
2006-08-03,0.015826921,1.0567362792125945,1.1713386566943051,0.11460237748171065,0.016724881608931676,0.09787749587277897
2006-08-04,0.015705136,1.0561641491345028,1.141064901203957,0.08490075206945424,0.01658720160048165,0.0683135504689726
2006-08-07,0.0162943,1.0563207457971215,1.1718931832279826,0.1155724374308611,0.01721200712824204,0.09836043030261905
2006-08-08,0.016384458,1.056501944649381,1.1830451286377055,0.12654318398832443,0.01731021173902611,0.10923297224929832
2006-08-09,0.016556043,1.0561624215494072,1.204999225326654,0.14883680377724673,0.01748587046615611,0.13135093331109063
2006-08-10,0.016061618,1.0561461386048974,1.1639023236928265,0.10775618508792917,0.016963415830446915,0.09079276925748225
2006-08-11,0.01632943,1.0564073058552992,1.1688380036426864,0.11243069778738723,0.017250529152452697,0.09518016863493453
2006-08-14,0.016360462,1.0566814769334225,1.1670085029631538,0.11032702602973132,0.017287797149473136,0.09303922888025819
2006-08-15,0.015825525,1.0564317254844016,1.1303589764443949,0.07392725095999331,0.016718586682446534,0.05720866427754677
2006-08-16,0.01483897,1.0559922110983173,1.1062078565268483,0.050215645428530964,0.015669836740721598,0.03454580868780936
2006-08-17,0.014635092,1.0557213991310208,1.1080391130088014,0.052317713877780614,0.01545057980265121,0.036867134075129405
2006-08-18,0.01417173,1.0558555835908858,1.1310555173745753,0.0751999337836895,0.014963300249642465,0.060236633534047034
2006-08-21,0.014590976,1.0563164672886831,1.1349169985549643,0.07860053126628119,0.015412688222613961,0.06318784304366723
2006-08-22,0.01452151,1.0564238787007787,1.135013329309391,0.07858945060861222,0.015340869918792145,0.06324858068982007
2006-08-23,0.014683138,1.0563477504947612,1.1534493646904287,0.09710161419566754,0.015510499796504146,0.08159111439916339
2006-08-24,0.01469514,1.056328381420572,1.1494841463844885,0.09315576496391653,0.015522893450948705,0.07763287151296783
2006-08-25,0.014559817,1.05636197424291,1.1636112385957302,0.10724926435282023,0.015380437030735482,0.09186882732208475
